areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,2021-11-27,,,6115
E92000001,England,nation,2021-11-26,,5992,27485
E92000001,England,nation,2021-11-25,,6068,34927
E92000001,England,nation,2021-11-24,,6062,38495
E92000001,England,nation,2021-11-23,,6257,39832
E92000001,England,nation,2021-11-22,,6424,41716
E92000001,England,nation,2021-11-21,,6322,30946
E92000001,England,nation,2021-11-20,,6191,29143
E92000001,England,nation,2021-11-19,,6310,32405
E92000001,England,nation,2021-11-18,,6336,36183
E92000001,England,nation,2021-11-17,,6412,37377
E92000001,England,nation,2021-11-16,,6623,37613
E92000001,England,nation,2021-11-15,,6864,41497
E92000001,England,nation,2021-11-14,,6707,28898
E92000001,England,nation,2021-11-13,,6639,26795
E92000001,England,nation,2021-11-12,144996,6777,30554
E92000001,England,nation,2021-11-11,144941,6861,32900
E92000001,England,nation,2021-11-10,144860,6961,34556
E92000001,England,nation,2021-11-09,144756,7053,33883
E92000001,England,nation,2021-11-08,144650,7075,35286
E92000001,England,nation,2021-11-07,144544,6910,24876
E92000001,England,nation,2021-11-06,144437,6874,22052
E92000001,England,nation,2021-11-05,144314,7072,23823
E92000001,England,nation,2021-11-04,144201,7201,26059
E92000001,England,nation,2021-11-03,144078,7291,28417
E92000001,England,nation,2021-11-02,143954,7510,30409
E92000001,England,nation,2021-11-01,143831,7535,36734
E92000001,England,nation,2021-10-31,143696,7311,28894
E92000001,England,nation,2021-10-30,143557,7155,27683
E92000001,England,nation,2021-10-29,143441,7113,33263
E92000001,England,nation,2021-10-28,143317,7019,34344
E92000001,England,nation,2021-10-27,143168,6951,35768
E92000001,England,nation,2021-10-26,143037,6883,34546
E92000001,England,nation,2021-10-25,142912,6801,39125
E92000001,England,nation,2021-10-24,142793,6515,29488
E92000001,England,nation,2021-10-23,142677,6386,29174
E92000001,England,nation,2021-10-22,142554,6405,33798
E92000001,England,nation,2021-10-21,142445,6366,37786
E92000001,England,nation,2021-10-20,142334,6299,43116
E92000001,England,nation,2021-10-19,142224,6099,43690
E92000001,England,nation,2021-10-18,142119,5938,48241
E92000001,England,nation,2021-10-17,142025,5623,36772
E92000001,England,nation,2021-10-16,141924,5385,31036
E92000001,England,nation,2021-10-15,141821,5363,35915
E92000001,England,nation,2021-10-14,141718,5289,38467
E92000001,England,nation,2021-10-13,141608,5246,39761
E92000001,England,nation,2021-10-12,141514,5213,40067
E92000001,England,nation,2021-10-11,141422,5206,42279
E92000001,England,nation,2021-10-10,141327,5077,30922
E92000001,England,nation,2021-10-09,141248,4921,26601
E92000001,England,nation,2021-10-08,141157,4975,29268
E92000001,England,nation,2021-10-07,141065,4962,31567
E92000001,England,nation,2021-10-06,140970,5009,31915
E92000001,England,nation,2021-10-05,140895,5006,31591
E92000001,England,nation,2021-10-04,140806,4909,35790
E92000001,England,nation,2021-10-03,140727,4778,26626
E92000001,England,nation,2021-10-02,140651,4652,21440
E92000001,England,nation,2021-10-01,140581,4799,23670
E92000001,England,nation,2021-09-30,140481,4916,26246
E92000001,England,nation,2021-09-29,140389,5017,28141
E92000001,England,nation,2021-09-28,140300,5126,29024
E92000001,England,nation,2021-09-27,140218,5121,33900
E92000001,England,nation,2021-09-26,140139,4949,26267
E92000001,England,nation,2021-09-25,140065,5100,22658
E92000001,England,nation,2021-09-24,139977,5036,25220
E92000001,England,nation,2021-09-23,139881,5214,27714
E92000001,England,nation,2021-09-22,139775,5406,28189
E92000001,England,nation,2021-09-21,139664,5543,29949
